@RELATION top_trends 

 @ATTRIBUTE grosse {0,1}
 @ATTRIBUTE embrouille {0,1}
 @ATTRIBUTE toute {0,1}
 @ATTRIBUTE histoires {0,1}
 @ATTRIBUTE voyages {0,1}
 @ATTRIBUTE devait {0,1}
 @ATTRIBUTE retourner {0,1}
 @ATTRIBUTE france {0,1}
 @ATTRIBUTE prend {0,1}
 @ATTRIBUTE avion {0,1}
 @ATTRIBUTE londres {0,1}
 @ATTRIBUTE alymolla {0,1}
 @ATTRIBUTE choses {0,1}
 @ATTRIBUTE criture {0,1}
 @ATTRIBUTE bouquins {0,1}
 @ATTRIBUTE nourriture {0,1}
 @ATTRIBUTE educationfrance {0,1}
 @ATTRIBUTE urgent {0,1}
 @ATTRIBUTE bruxelles {0,1}
 @ATTRIBUTE annulation {0,1}
 @ATTRIBUTE scolaires {0,1}
 @ATTRIBUTE belgique {0,1}
 @ATTRIBUTE transit {0,1}
 @ATTRIBUTE rlq1b1pxmv {0,1}
 @ATTRIBUTE tho48waukc {0,1}
 @ATTRIBUTE organisation {0,1}
 @ATTRIBUTE agile {0,1}
 @ATTRIBUTE share {0,1}
 @ATTRIBUTE whatsapp {0,1}
 @ATTRIBUTE quelques {0,1}
 @ATTRIBUTE kx4teqc6jl {0,1}
 @ATTRIBUTE faire {0,1}
 @ATTRIBUTE dingue {0,1}
 @ATTRIBUTE qblbigp3dv {0,1}
 @ATTRIBUTE early_hour {0,1}
 @ATTRIBUTE asm8mzpzez {0,1}
 @ATTRIBUTE blogmoderateur {0,1}
 @ATTRIBUTE bajilif6pq {0,1}
 @ATTRIBUTE fropars {0,1}
 @ATTRIBUTE organise {0,1}
 @ATTRIBUTE irlande {0,1}
 @ATTRIBUTE autres {0,1}
 @ATTRIBUTE alors {0,1}
 @ATTRIBUTE pressions {0,1}
 @ATTRIBUTE aller {0,1}
 @ATTRIBUTE paris {0,1}
 @ATTRIBUTE pale_cigarette {0,1}
 @ATTRIBUTE immense {0,1}
 @ATTRIBUTE besoin {0,1}
 @ATTRIBUTE concerts {0,1}
 @ATTRIBUTE postbadfriend_ {0,1}
 @ATTRIBUTE potes {0,1}
 @ATTRIBUTE arrive {0,1}
 @ATTRIBUTE retrouvera {0,1}
 @ATTRIBUTE france3paris {0,1}
 @ATTRIBUTE attentatsbruxelles {0,1}
 @ATTRIBUTE annul {0,1}
 @ATTRIBUTE hsdnwmuicg {0,1}
 @ATTRIBUTE qgc3sn0n3w {0,1}
 @ATTRIBUTE lamarie84 {0,1}
 @ATTRIBUTE solution {0,1}
 @ATTRIBUTE repli {0,1}
 @ATTRIBUTE moins {0,1}
 @ATTRIBUTE temps {0,1}
 @ATTRIBUTE famille {0,1}
 @ATTRIBUTE quasi {0,1}
 @ATTRIBUTE photo {0,1}
 @ATTRIBUTE stellaa_dcd {0,1}
 @ATTRIBUTE franchement {0,1}
 @ATTRIBUTE aurais {0,1}
 @ATTRIBUTE annulent {0,1}
 @ATTRIBUTE gchampeau {0,1}
 @ATTRIBUTE cazeneuve {0,1}
 @ATTRIBUTE reparle {0,1}
 @ATTRIBUTE contre {0,1}
 @ATTRIBUTE terrorisme {0,1}
 @ATTRIBUTE lequel {0,1}
 @ATTRIBUTE concerne {0,1}
 @ATTRIBUTE monde {0,1}
 @ATTRIBUTE qceodnamrn {0,1}
 @ATTRIBUTE disponible {0,1}
 @ATTRIBUTE eurostarfr {0,1}
 @ATTRIBUTE axqhqar7ia {0,1}
 @ATTRIBUTE ca6jf51qsa {0,1}
 @ATTRIBUTE benjamingrksi {0,1}
 @ATTRIBUTE curieux {0,1}
 @ATTRIBUTE savoir {0,1}
 @ATTRIBUTE donnent {0,1}
 @ATTRIBUTE vente {0,1}
 @ATTRIBUTE trucs {0,1}
 @ATTRIBUTE paradisiaque {0,1}
 @ATTRIBUTE publique {0,1}
 @ATTRIBUTE dominicaine {0,1}
 @ATTRIBUTE comme {0,1}
 @ATTRIBUTE rester {0,1}
 @ATTRIBUTE plage {0,1}
 @ATTRIBUTE cette {0,1}
 @ATTRIBUTE voici {0,1}
 @ATTRIBUTE bolivie {0,1}
 @ATTRIBUTE argentine {0,1}
 @ATTRIBUTE canandes {0,1}
 @ATTRIBUTE aventure {0,1}
 @ATTRIBUTE arthurings {0,1}
 @ATTRIBUTE toujours {0,1}
 @ATTRIBUTE embrouilles {0,1}
 @ATTRIBUTE nouveaux {0,1}
 @ATTRIBUTE couples {0,1}
 @ATTRIBUTE stress {0,1}
 @ATTRIBUTE avoir {0,1}
 @ATTRIBUTE places {0,1}
 @ATTRIBUTE sofx_casual_ {0,1}
 @ATTRIBUTE vivre {0,1}
 @ATTRIBUTE rature {0,1}
 @ATTRIBUTE discussions {0,1}
 @ATTRIBUTE nocturnes {0,1}
 @ATTRIBUTE musique {0,1}
 @ATTRIBUTE amour {0,1}
 @ATTRIBUTE couchers {0,1}
 @ATTRIBUTE soleil {0,1}
 @ATTRIBUTE cervingb {0,1}
 @ATTRIBUTE phiphilippe {0,1}
 @ATTRIBUTE avons {0,1}
 @ATTRIBUTE coutes {0,1}
 @ATTRIBUTE accablantes {0,1}
 @ATTRIBUTE sarkozy {0,1}
 @ATTRIBUTE woerth {0,1}
 @ATTRIBUTE vraiment {0,1}
 @ATTRIBUTE angleterre {0,1}
 @ATTRIBUTE maintenu {0,1}
 @ATTRIBUTE zolanskhaadi {0,1}
 @ATTRIBUTE attentats {0,1}
 @ATTRIBUTE valentinez_fr {0,1}
 @ATTRIBUTE regionsjob {0,1}
 @ATTRIBUTE mickmp06 {0,1}
 @ATTRIBUTE aurelia_lbdr {0,1}
 @ATTRIBUTE garcia_vincent {0,1}
 @ATTRIBUTE battle {0,1}
 @ATTRIBUTE cours {0,1}
 @ATTRIBUTE quipe {0,1}
 @ATTRIBUTE d0mzgeylnp {0,1}
 @ATTRIBUTE technol {0,1}
 @ATTRIBUTE galerie {0,1}
 @ATTRIBUTE qpcpsb5jor {0,1}
 @ATTRIBUTE irgbed5gse {0,1}
 @ATTRIBUTE hyzerking {0,1}
 @ATTRIBUTE spirit_zyer_ {0,1}
 @ATTRIBUTE fronti {0,1}
 @ATTRIBUTE parents {0,1}
 @ATTRIBUTE veulent {0,1}
 @ATTRIBUTE appeller {0,1}
 @ATTRIBUTE lycee {0,1}
 @ATTRIBUTE situations {0,1}
 @ATTRIBUTE urgence {0,1}
 @ATTRIBUTE conseils {0,1}
 @ATTRIBUTE suivre {0,1}
 @ATTRIBUTE dzfzb6bhgc {0,1}
 @ATTRIBUTE tipsviasudca {0,1}
 @ATTRIBUTE secutire {0,1}
 @ATTRIBUTE conseilsvoyages {0,1}
 @ATTRIBUTE rogersismygoal {0,1}
 @ATTRIBUTE taient {0,1}
 @ATTRIBUTE gratuits {0,1}
 @ATTRIBUTE verrez {0,1}
 @ATTRIBUTE jamais {0,1}
 @ATTRIBUTE armandtv_ {0,1}
 @ATTRIBUTE eachfive {0,1}
 @ATTRIBUTE rjahwmqg15 {0,1}
 @ATTRIBUTE net_invest {0,1}
 @ATTRIBUTE grand {0,1}
 @ATTRIBUTE concours {0,1}
 @ATTRIBUTE netinvestissement {0,1}
 @ATTRIBUTE extraordinaires {0,1}
 @ATTRIBUTE gagner {0,1}
 @ATTRIBUTE ipad2 {0,1}
 @ATTRIBUTE whswhi {0,1}
 @ATTRIBUTE tesshbg {0,1}
 @ATTRIBUTE meilleure {0,1}
 @ATTRIBUTE check {0,1}
 @ATTRIBUTE hotels {0,1}
 @ATTRIBUTE tombe {0,1}
 @ATTRIBUTE hotel {0,1}
 @ATTRIBUTE londonien {0,1}
 @ATTRIBUTE janvier {0,1}
 @ATTRIBUTE zizir {0,1}
 @ATTRIBUTE pour_ago {0,1}
 @ATTRIBUTE partir {0,1}
 @ATTRIBUTE comparateur {0,1}
 @ATTRIBUTE vrqfqav1ns {0,1}
 @ATTRIBUTE belles {0,1}
 @ATTRIBUTE voitures {0,1}
 @ATTRIBUTE parking {0,1}
 @ATTRIBUTE 1zrbakunij {0,1}
 @ATTRIBUTE hyihjfl5u2 {0,1}
 @ATTRIBUTE dispositions {0,1}
 @ATTRIBUTE prendre {0,1}
 @ATTRIBUTE sww5uovvax {0,1}
 @ATTRIBUTE souhaite {0,1}
 @ATTRIBUTE pleins {0,1}
 @ATTRIBUTE emmanuellects {0,1}
 @ATTRIBUTE pologne {0,1}
 @ATTRIBUTE espagnex2 {0,1}
 @ATTRIBUTE italie {0,1}
 @ATTRIBUTE allemagne {0,1}
 @ATTRIBUTE picas {0,1}
 @ATTRIBUTE cevicheriaresto {0,1}
 @ATTRIBUTE martel {0,1}
 @ATTRIBUTE vogue {0,1}
 @ATTRIBUTE merci {0,1}
 @ATTRIBUTE adresses {0,1}
 @ATTRIBUTE poissons {0,1}
 @ATTRIBUTE bjv0s {0,1}
 @ATTRIBUTE stricaud {0,1}
 @ATTRIBUTE votre {0,1}
 @ATTRIBUTE venue {0,1}
 @ATTRIBUTE semaine {0,1}
 @ATTRIBUTE clubs {0,1}
 @ATTRIBUTE rugby {0,1}
 @ATTRIBUTE quand {0,1}
 @ATTRIBUTE oubli {0,1}
 @ATTRIBUTE alexdyu14 {0,1}
 @ATTRIBUTE maintenus {0,1}
 @ATTRIBUTE cause {0,1}
 @ATTRIBUTE putes {0,1}
 @ATTRIBUTE reporter {0,1}
 @ATTRIBUTE europ {0,1}
 @ATTRIBUTE brussels {0,1}
 @ATTRIBUTE aimerais {0,1}
 @ATTRIBUTE aliser {0,1}
 @ATTRIBUTE belfast {0,1}
 @ATTRIBUTE copenhague {0,1}
 @ATTRIBUTE stockholm {0,1}
 @ATTRIBUTE amsterdam {0,1}
 @ATTRIBUTE cafepedagogique {0,1}
 @ATTRIBUTE rappel {0,1}
 @ATTRIBUTE suspendus {0,1}
 @ATTRIBUTE missannabelle73 {0,1}
 @ATTRIBUTE scouichblog {0,1}
 @ATTRIBUTE lovetrotters {0,1}
 @ATTRIBUTE deathspell {0,1}
 @ATTRIBUTE omega {0,1}
 @ATTRIBUTE dernier {0,1}
 @ATTRIBUTE tuvoyages {0,1}
 @ATTRIBUTE recteurs {0,1}
 @ATTRIBUTE annuler {0,1}
 @ATTRIBUTE destination {0,1}
 @ATTRIBUTE accreteil {0,1}
 @ATTRIBUTE 0e43svwp3u {0,1}
 @ATTRIBUTE technologies {0,1}
 @ATTRIBUTE nantes {0,1}
 @ATTRIBUTE lmauconduit {0,1}
 @ATTRIBUTE 3nno1yubrb {0,1}
 @ATTRIBUTE vnddjeybdf {0,1}
 @ATTRIBUTE 8xhvwheof0 {0,1}
 @ATTRIBUTE hfromond {0,1}
 @ATTRIBUTE crapas {0,1}
 @ATTRIBUTE fougeres {0,1}
 @ATTRIBUTE saint {0,1}
 @ATTRIBUTE michel {0,1}
 @ATTRIBUTE putain {0,1}
 @ATTRIBUTE merde {0,1}
 @ATTRIBUTE adolescence {0,1}
 @ATTRIBUTE riode {0,1}
 @ATTRIBUTE asquip {0,1}
 @ATTRIBUTE blogsdevoyage {0,1}
 @ATTRIBUTE lemondefr {0,1}
 @ATTRIBUTE pendant {0,1}
 @ATTRIBUTE ymrafe7ivp {0,1}
 @ATTRIBUTE leboutdumonde {0,1}
 @ATTRIBUTE martinetdmonde {0,1}
 @ATTRIBUTE hooon {0,1}
 @ATTRIBUTE multiples {0,1}
 @ATTRIBUTE voudrais {0,1}
 @ATTRIBUTE malekula {0,1}
 @ATTRIBUTE vanuatu {0,1}
 @ATTRIBUTE hebrides {0,1}
 @ATTRIBUTE marques {0,1}
 @ATTRIBUTE jtiqxgcr2n {0,1}
 @ATTRIBUTE 0crzpd75b1 {0,1}
 @ATTRIBUTE 9ldsp14qxj {0,1}
 @ATTRIBUTE jm2jkkhinv {0,1}
 @ATTRIBUTE liiittle_escape {0,1}
 @ATTRIBUTE voiture {0,1}
 @ATTRIBUTE seule {0,1}
 @ATTRIBUTE voleurs {0,1}
 @ATTRIBUTE agences {0,1}
 @ATTRIBUTE poste {0,1}
 @ATTRIBUTE deals {0,1}
 @ATTRIBUTE 7p8rcdkcgf {0,1}
 @ATTRIBUTE 7accdjno9r {0,1}
 @ATTRIBUTE hotelsdeals {0,1}
 @ATTRIBUTE eeflqidqni {0,1}
 @ATTRIBUTE 829lh01qwq {0,1}
 @ATTRIBUTE droit {0,1}
 @ATTRIBUTE interdit {0,1}


@data 
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
